candidato,periodo_2d,mean,std,n,se,ci95,media_movil_2
kaiser,2025-08-24,0.6316666666666667,0.1862704127516409,6,0.07604457756985555,0.14904737203691687,0.5783333333333334
kaiser,2025-08-26,0.4019736842105263,0.186030498820027,19,0.042678323409103165,0.0836495138818422,0.5168201754385966
kaiser,2025-08-28,0.5383333333333333,0.29902619729158625,6,0.12207693384819993,0.23927079034247184,0.4701535087719299
kaiser,2025-09-01,0.4,0.13944333775567927,10,0.044095855184409845,0.08642787616144329,0.4691666666666668
kaiser,2025-09-09,0.43333333333333335,0.0930949336251263,6,0.038005847503304616,0.07449146110647704,0.4166666666666668
kaiser,2025-09-11,0.3525,0.2171268729277158,20,0.04855104476083313,0.09516004773123293,0.3929166666666668
kaiser,2025-09-13,0.542,0.1951153504981092,5,0.08725823743349392,0.17102614536964808,0.44725000000000015
kaiser,2025-09-17,0.35000000000000003,0.14999999999999997,3,0.08660254037844385,0.16974097914174996,0.4460000000000002
kaiser,2025-09-21,0.24,0.07416198487095663,5,0.033166247903554,0.06500584589096584,0.29500000000000015
kaiser,2025-09-23,0.41725,0.18020994700626267,10,0.05698738895580319,0.11169528235337425,0.3286250000000001
kaiser,2025-09-27,0.387,0.19389430110243056,5,0.08671216754296943,0.16995584838422007,0.4021250000000001
kaiser,2025-10-01,0.4,0.2632217967526897,8,0.09306295871996702,0.18240339909113534,0.3935000000000001
kaiser,2025-10-03,0.5654166666666667,0.2439795927258398,6,0.09960425163839366,0.19522433321125157,0.48270833333333346
kaiser,2025-10-05,0.4375,0.12499999999999999,4,0.06249999999999999,0.12249999999999998,0.5014583333333335
kaiser,2025-10-07,0.4325,0.1891900027561106,8,0.0668887669407737,0.13110198320391644,0.4350000000000001
kaiser,2025-10-09,0.448046875,0.17704420622449435,32,0.03129728969778238,0.061342687807653465,0.44027343750000014
kaiser,2025-10-11,0.6020833333333333,0.20889241648912646,6,0.08527997192255116,0.16714874496820026,0.5250651041666667
kaiser,2025-10-13,0.38749999999999996,0.22928849575526963,8,0.08106572509830703,0.15888882119268177,0.4947916666666668
kaiser,2025-10-15,0.35,0.2,5,0.08944271909999159,0.17530772943598352,0.36875000000000013
kaiser,2025-10-17,0.35714285714285715,0.1789519754677481,7,0.06763748910162756,0.13256947863919002,0.35357142857142876
kaiser,2025-10-19,0.40659999999999996,0.19810282473166976,25,0.03962056494633395,0.07765630729481454,0.38187142857142875
kaiser,2025-10-21,0.48,0.22437792793734093,12,0.06477232854741713,0.12695376395293756,0.44330000000000014
kaiser,2025-10-23,0.4401470588235294,0.17247388975453307,17,0.041831062654063264,0.081988882801964,0.4600735294117648
kaiser,2025-10-25,0.40988636363636366,0.22374842765814607,44,0.03373134463518405,0.06611343548496074,0.42501671122994666
kaiser,2025-10-27,0.4132075471698113,0.1763133256112501,53,0.02421849783763015,0.0474682557617551,0.4115469554030876
kaiser,2025-10-29,0.4792528735632184,0.2103071241641727,87,0.022547290398209803,0.04419268918049121,0.446230210366515
kaiser,2025-10-31,0.4162037037037037,0.16540769287161677,81,0.018378632541290754,0.036022119780929875,0.4477282886334612
kaiser,2025-11-02,0.4836881188118812,0.18667136699940282,101,0.01857449525117435,0.036406010692301725,0.4499459112577926
kaiser,2025-11-04,0.45835227272727275,0.20741945063210074,88,0.022110987730425524,0.043337535951634025,0.4710201957695771
kaiser,2025-11-06,0.4390909090909091,0.1929047322628112,44,0.029081482599986854,0.05699970589597423,0.4487215909090911
kaiser,2025-11-08,0.4183108108108108,0.19631328955946323,37,0.032273705998159125,0.06325646375639188,0.4287008599508601
kaiser,2025-11-10,0.44609375,0.16666443003509793,80,0.01863364974948683,0.03652195350899418,0.43220228040540554
kaiser,2025-11-12,0.4427956989247312,0.2198603340828873,93,0.022798454603124747,0.0446849710221245,0.44444472446236577
kaiser,2025-11-14,0.4172093023255814,0.2212580435061476,43,0.03374153530927675,0.06613340920618244,0.43000250062515644
kaiser,2025-11-16,0.37756329113924053,0.21966137060882485,79,0.024713835037281615,0.048439116673071964,0.3973862967324111
kaiser,2025-11-18,0.4303571428571429,0.14136358803158622,28,0.02671520702652599,0.05236180577199094,0.40396021699819185
kaiser,2025-11-20,0.2681818181818182,0.13280197150781925,11,0.04004130099190044,0.07848094994412486,0.3492694805194807
kaiser,2025-11-22,0.376875,0.16507447814042406,16,0.041268619535106014,0.08088649428880779,0.3225284090909093
kaiser,2025-11-24,0.4321875,0.2989787304307783,8,0.10570494385907404,0.2071816899637851,0.4045312500000002
kaiser,2025-11-26,0.43555555555555553,0.18952641356261798,18,0.04467180408136441,0.08755673599947425,0.43387152777777793
kaiser,2025-11-28,0.49374999999999997,0.23569200485770866,14,0.06299133792710038,0.12346302233711674,0.4646527777777779
kaiser,2025-12-04,0.4511111111111111,0.1758350042453115,27,0.033839462344663195,0.06632534619553986,0.4724305555555557
kaiser,2025-12-10,0.39319444444444446,0.21173965277093362,18,0.04990751477347071,0.09781872895600259,0.42215277777777793
kaiser,2025-12-14,0.41111111111111115,0.14953632037438636,9,0.04984544012479545,0.09769706264459908,0.40215277777777797
kaiser,2025-12-16,0.45499999999999996,0.18907670401189033,5,0.08455767262643879,0.16573303834782002,0.43305555555555575
kaiser,2025-12-18,0.4915909090909091,0.23468668668906403,11,0.07076069845812004,0.13869096897791527,0.4732954545454547
kaiser,2025-12-20,0.43499999999999994,0.16674997917707685,10,0.05273097339852125,0.10335270786110165,0.4632954545454547
kaiser,2025-12-22,0.5805,0.2553086367516775,5,0.11417749340391038,0.22378788707166433,0.5077500000000001
kaiser,2025-12-28,0.466,0.1369984358617697,15,0.0353728440366066,0.06933077431174893,0.5232500000000002
kaiser,2026-01-19,0.3416666666666666,0.1594260539142416,6,0.0650854139658888,0.12756741137314204,0.4038333333333335
kast,2025-08-06,0.32416666666666666,0.12563292145126992,15,0.032438280834410194,0.06357903043544398,0.32416666666666666
kast,2025-08-08,0.3877777777777778,0.17576815537646304,9,0.05858938512548768,0.11483519484595585,0.35597222222222225
kast,2025-08-10,0.4425,0.15777093099385156,4,0.07888546549692578,0.15461551237397453,0.4151388888888889
kast,2025-08-12,0.41967391304347823,0.16649512746730977,23,0.034716633947204076,0.06804460253651999,0.4310869565217391
kast,2025-08-14,0.39,0.08944271909999159,5,0.04,0.0784,0.4048369565217391
kast,2025-08-18,0.41133333333333333,0.20803259245562827,15,0.053713784403266865,0.10527901743040305,0.40066666666666667
kast,2025-08-20,0.5132,0.1956340120394883,25,0.03912680240789766,0.07668853271947941,0.46226666666666666
kast,2025-08-22,0.38378378378378375,0.17761696226792442,37,0.02920004872510063,0.05723209550119724,0.44849189189189187
kast,2025-08-24,0.49413636363636365,0.2389610121334971,55,0.032221496302896176,0.0631541327536765,0.43896007371007373
kast,2025-08-26,0.46226190476190476,0.2154485216384426,21,0.0470147218464045,0.09214885481895281,0.4781991341991342
kast,2025-08-28,0.44349999999999995,0.15588056325276733,5,0.0697119071608287,0.13663533803522426,0.4528809523809524
kast,2025-08-30,0.3086111111111111,0.14993925785381101,18,0.03534102199816936,0.06926840311641194,0.37605555555555553
kast,2025-09-01,0.408125,0.1805258522576014,16,0.04513146306440035,0.08845766760622469,0.35836805555555556
kast,2025-09-03,0.42301020408163265,0.1660203454460953,49,0.023717192206585046,0.04648569672490669,0.41556760204081633
kast,2025-09-05,0.43006756756756753,0.17060298136976462,37,0.02804695736846404,0.05497203644218952,0.4265388858246001
kast,2025-09-07,0.4249264705882353,0.17458987146300559,34,0.029941915936117936,0.058686155234791156,0.4274970190779014
kast,2025-09-09,0.5709090909090909,0.18619637727166152,11,0.05614032006668721,0.11003502733070693,0.4979177807486631
kast,2025-09-11,0.4206976744186047,0.1853610742621162,43,0.028267298820288486,0.05540390568776543,0.4958033826638478
kast,2025-09-13,0.3994,0.2235616991645334,25,0.04471233983290668,0.08763618607249708,0.4100488372093023
kast,2025-09-15,0.3977272727272727,0.16750169605654203,11,0.050503661597063876,0.0989871767302452,0.39856363636363634
kast,2025-09-17,0.5309375,0.265477795345352,8,0.09386057467157642,0.18396672635628977,0.46433238636363633
kast,2025-09-19,0.43928571428571433,0.17886240030190315,14,0.04780298723612383,0.0936938549828027,0.48511160714285717
kast,2025-09-21,0.40705882352941175,0.22146570575041505,17,0.05371332336828952,0.10527811380184746,0.42317226890756304
kast,2025-09-23,0.6081818181818182,0.21271486463424136,11,0.06413594484754709,0.12570645190119228,0.5076203208556149
kast,2025-09-25,0.4714,0.19239320630763793,25,0.038478641261527585,0.07541813687259406,0.5397909090909091
kast,2025-09-27,0.34691176470588236,0.17431457154506957,17,0.04227749356262403,0.0828638873827431,0.4091558823529412
kast,2025-09-29,0.4962500000000001,0.19521905117374294,18,0.046013571633919094,0.09018660040248143,0.4215808823529412
