candidato,semana,emocion_final,proporcion,emocion_lab
kast,2025-08-18,esperanza,0.008695652173913044,Esperanza
kast,2025-08-18,indignacion,0.2956521739130435,Indignación
kast,2025-08-18,ira,0.02608695652173913,Ira
kast,2025-08-18,ironia,0.16521739130434782,Ironía
kast,2025-08-18,miedo,0.02608695652173913,Miedo
kast,2025-08-18,ninguna,0.1565217391304348,Ninguna
kast,2025-08-25,desprecio,0.31666666666666665,Desprecio
kast,2025-08-25,esperanza,0.016666666666666666,Esperanza
kast,2025-08-25,indignacion,0.3,Indignación
kast,2025-08-25,ironia,0.2,Ironía
kast,2025-08-25,miedo,0.016666666666666666,Miedo
kast,2025-08-25,ninguna,0.13333333333333333,Ninguna
kast,2025-09-01,desprecio,0.3364485981308411,Desprecio
kast,2025-09-01,indignacion,0.3177570093457944,Indignación
kast,2025-09-01,ironia,0.1308411214953271,Ironía
kast,2025-09-01,miedo,0.037383177570093455,Miedo
kast,2025-09-01,ninguna,0.14953271028037382,Ninguna
kast,2025-09-08,desprecio,0.28703703703703703,Desprecio
kast,2025-09-08,esperanza,0.027777777777777776,Esperanza
kast,2025-09-08,indignacion,0.3055555555555556,Indignación
kast,2025-09-08,ira,0.009259259259259259,Ira
kast,2025-09-08,ironia,0.1111111111111111,Ironía
kast,2025-09-08,miedo,0.05555555555555555,Miedo
kast,2025-09-08,ninguna,0.18518518518518517,Ninguna
kast,2025-09-15,desprecio,0.3611111111111111,Desprecio
kast,2025-09-15,esperanza,0.027777777777777776,Esperanza
kast,2025-09-15,indignacion,0.3611111111111111,Indignación
kast,2025-09-15,ironia,0.05555555555555555,Ironía
kast,2025-09-15,miedo,0.027777777777777776,Miedo
kast,2025-09-15,ninguna,0.16666666666666666,Ninguna
kast,2025-09-22,desprecio,0.29850746268656714,Desprecio
kast,2025-09-22,indignacion,0.26865671641791045,Indignación
kast,2025-09-22,ira,0.014925373134328358,Ira
kast,2025-09-22,ironia,0.23880597014925373,Ironía
kast,2025-09-22,miedo,0.029850746268656716,Miedo
kast,2025-09-22,ninguna,0.13432835820895522,Ninguna
kast,2025-09-29,desprecio,0.2608695652173913,Desprecio
kast,2025-09-29,esperanza,0.03260869565217391,Esperanza
kast,2025-09-29,indignacion,0.31521739130434784,Indignación
kast,2025-09-29,ira,0.010869565217391304,Ira
kast,2025-09-29,ironia,0.20652173913043478,Ironía
kast,2025-09-29,miedo,0.043478260869565216,Miedo
kast,2025-09-29,ninguna,0.11956521739130435,Ninguna
kast,2025-10-06,desprecio,0.3956043956043956,Desprecio
kast,2025-10-06,indignacion,0.2087912087912088,Indignación
kast,2025-10-06,ira,0.04395604395604396,Ira
kast,2025-10-06,ironia,0.17582417582417584,Ironía
kast,2025-10-06,miedo,0.04395604395604396,Miedo
kast,2025-10-06,ninguna,0.12087912087912088,Ninguna
