n_comentarios,polarizacion_media,pct_negativo,author_hash,emocion_dominante,candidato_mas_frecuente,candidato_principal,tipo_autor
1,0.75,1.0,u_4574537bcc40534c,indignacion,kast,kast,esporadico
2,0.375,0.5,u_26184281359c6651,desprecio,kast,empate,recurrente
1,0.3,0.0,u_a4ae45763aa7d69b,desprecio,kast,kast,esporadico
1,0.45,1.0,u_f46836dcfd5bef81,indignacion,jara,jara,esporadico
1,0.5,1.0,u_762361d85eeff674,desprecio,jara,jara,esporadico
4,0.55,0.75,u_93d053d3b48aaf1b,desprecio,jara,jara,recurrente
1,0.7,1.0,u_2bcc21b85166f8c0,desprecio,kaiser,kaiser,esporadico
2,0.42500000000000004,0.5,u_aa234e6d701c49c7,desprecio,kaiser,empate,recurrente
1,0.2,1.0,u_0515cff8ad229f13,desprecio,"kast, jara",empate,esporadico
2,0.425,0.5,u_cadb5b9b90e2b11e,desprecio,jara,empate,recurrente
4,0.275,0.5,u_4967089ae2485934,ironia,kast,kast,recurrente
3,0.4833333333333334,0.3333333333333333,u_1a9fac741b64ca09,desprecio,"kast, jara",jara,recurrente
1,0.6,1.0,u_e19bc183e8ef834a,desprecio,kast,kast,esporadico
1,0.65,1.0,u_9144b1b453fb1d35,indignacion,kast,kast,esporadico
1,0.45,1.0,u_079a330fa912f21f,ironia,jara,jara,esporadico
4,0.5625,0.5,u_c9b744f8d6faa699,indignacion,kaiser,kaiser,recurrente
2,0.25,0.0,u_21e40fcd72ba8a07,alegria,kaiser,kaiser,recurrente
3,0.3333333333333333,0.3333333333333333,u_64384d3a85595512,esperanza,kaiser,kast,recurrente
2,0.4,0.5,u_898ced0a7f777c09,desprecio,kast,kast,recurrente
2,0.55,1.0,u_73d5b1ae7ee7785a,desprecio,jara,empate,recurrente
1,0.6,1.0,u_6aabb6e35d8872b9,desprecio,kaiser,kaiser,esporadico
11,0.3909090909090909,0.45454545454545453,u_60bbed6053d6d29a,desprecio,kast,kast,activo
1,0.45,1.0,u_ac18d88848bb1d1c,desprecio,"kast, jara",empate,esporadico
1,0.25,0.0,u_7207321331e90e8e,ironia,kast,kast,esporadico
3,0.5833333333333334,0.6666666666666666,u_06109c33eb4e8380,desprecio,jara,jara,recurrente
1,0.35,1.0,u_95c34a92a148710c,indignacion,kaiser,kaiser,esporadico
1,0.3,0.0,u_d0ab81eba8f94fce,ninguna,jara,jara,esporadico
1,0.55,1.0,u_6b09460f4b01a268,desprecio,jara,jara,esporadico
3,0.48333333333333334,1.0,u_25999e78b15c1b2c,desprecio,"kast, jara",kast,recurrente
1,0.7,1.0,u_3ee57a71507ef48a,desprecio,kast,kast,esporadico
1,0.55,0.0,u_ee32086c1525d361,ironia,kaiser,kaiser,esporadico
