dia,n,prob_neg,prob_pos,pol_mean,candidato
2025-12-06,36,0.2777777777777778,0.05555555555555555,0.38868055555555553,jara
2025-12-07,19,0.0,0.0,0.21526315789473682,jara
2025-12-08,3,0.0,0.3333333333333333,0.2916666666666667,jara
2025-12-09,22,0.5,0.045454545454545456,0.3981818181818182,jara
2025-12-10,108,0.48148148148148145,0.046296296296296294,0.39525462962962965,jara
2025-12-11,53,0.5283018867924528,0.07547169811320754,0.4411792452830189,jara
2025-12-12,15,0.6,0.13333333333333333,0.4891666666666667,jara
2025-12-13,71,0.3380281690140845,0.2112676056338028,0.41306338028169015,jara
2025-12-14,69,0.4492753623188406,0.057971014492753624,0.408695652173913,jara
2025-12-15,63,0.38095238095238093,0.015873015873015872,0.44035714285714284,jara
2025-12-16,12,0.75,0.0,0.483125,jara
2025-12-17,17,0.35294117647058826,0.058823529411764705,0.3925,jara
2025-12-18,8,0.75,0.0,0.5009375,jara
2025-12-19,1,1.0,0.0,0.45,jara
2025-12-20,2,0.5,0.5,0.575,jara
2025-12-21,1,1.0,0.0,0.35,jara
2025-12-22,6,0.5,0.0,0.6408333333333334,jara
2025-12-23,12,0.4166666666666667,0.16666666666666666,0.44166666666666665,jara
2025-12-27,15,0.4666666666666667,0.0,0.4096666666666667,jara
2025-12-28,1,0.0,0.0,0.45,jara
2025-12-29,1,0.0,0.0,0.4,jara
2025-12-31,1,0.0,0.0,0.2,jara
2026-01-01,1,1.0,0.0,0.5,jara
2026-01-06,1,0.0,0.0,0.35,jara
2026-01-08,1,0.0,0.0,0.3,jara
2026-01-11,1,0.0,0.0,0.4,jara
2026-01-20,1,0.0,0.0,0.1,jara
2026-01-21,1,0.0,0.0,0.3,jara
2025-08-06,14,1.0,0.0,0.31875000000000003,kast
2025-08-07,1,0.0,0.0,0.4,kast
2025-08-08,5,0.6,0.0,0.45600000000000007,kast
2025-08-09,4,0.75,0.0,0.3025,kast
2025-08-10,3,0.6666666666666666,0.0,0.5,kast
2025-08-11,1,0.0,0.0,0.27,kast
2025-08-12,14,0.8571428571428571,0.07142857142857142,0.42160714285714285,kast
2025-08-13,9,0.7777777777777778,0.0,0.4166666666666667,kast
2025-08-14,5,0.6,0.2,0.39,kast
2025-08-16,1,0.0,0.0,0.1,kast
2025-08-17,1,0.0,0.0,0.25,kast
2025-08-18,10,0.4,0.0,0.35,kast
2025-08-19,5,0.6,0.0,0.534,kast
2025-08-20,10,0.6,0.1,0.514,kast
2025-08-21,15,0.6666666666666666,0.06666666666666667,0.5126666666666666,kast
2025-08-22,24,0.7083333333333334,0.08333333333333333,0.3520833333333333,kast
2025-08-23,13,0.6153846153846154,0.0,0.4423076923076923,kast
2025-08-24,39,0.6923076923076923,0.05128205128205128,0.5073076923076923,kast
2025-08-25,16,0.625,0.0625,0.46203125,kast
2025-08-26,8,0.75,0.0,0.4534375,kast
2025-08-27,13,0.8461538461538461,0.0,0.4676923076923077,kast
2025-08-28,3,0.6666666666666666,0.0,0.5058333333333334,kast
2025-08-29,2,1.0,0.0,0.35,kast
2025-08-30,11,0.7272727272727273,0.0,0.30954545454545457,kast
2025-08-31,7,0.5714285714285714,0.14285714285714285,0.3071428571428571,kast
2025-09-01,7,0.5714285714285714,0.14285714285714285,0.3642857142857143,kast
2025-09-02,9,0.8888888888888888,0.0,0.44222222222222224,kast
2025-09-03,6,0.6666666666666666,0.16666666666666666,0.47625,kast
2025-09-04,43,0.813953488372093,0.023255813953488372,0.41558139534883726,kast
2025-09-05,25,0.64,0.0,0.4277,kast
2025-09-06,12,0.8333333333333334,0.0,0.435,kast
2025-09-07,5,0.8,0.0,0.5295,kast
2025-09-08,29,0.6551724137931034,0.13793103448275862,0.40689655172413797,kast
2025-09-10,11,0.8181818181818182,0.0,0.5709090909090909,kast
2025-09-11,22,0.5454545454545454,0.045454545454545456,0.41113636363636363,kast
2025-09-12,21,0.6190476190476191,0.09523809523809523,0.4307142857142857,kast
2025-09-13,5,0.6,0.0,0.537,kast
2025-09-14,20,0.55,0.1,0.365,kast
2025-09-15,7,0.42857142857142855,0.14285714285714285,0.3821428571428572,kast
2025-09-16,4,0.75,0.0,0.425,kast
2025-09-17,7,0.8571428571428571,0.0,0.5210714285714285,kast
2025-09-18,1,1.0,0.0,0.6,kast
2025-09-19,6,0.6666666666666666,0.0,0.3166666666666667,kast
2025-09-20,8,0.875,0.125,0.53125,kast
2025-09-21,3,1.0,0.0,0.5499999999999999,kast
2025-09-22,14,0.6428571428571429,0.0,0.3764285714285714,kast
2025-09-23,7,0.7142857142857143,0.0,0.6075,kast
2025-09-24,4,0.75,0.0,0.609375,kast
2025-09-25,15,0.8,0.0,0.4688333333333333,kast
2025-09-26,10,0.5,0.1,0.47524999999999995,kast
2025-09-27,8,0.375,0.0,0.285625,kast
2025-09-28,9,0.4444444444444444,0.3333333333333333,0.40138888888888885,kast
2025-09-29,6,0.8333333333333334,0.0,0.5004166666666666,kast
2025-09-30,12,0.8333333333333334,0.0,0.49416666666666664,kast
2025-10-01,20,0.7,0.1,0.462125,kast
2025-10-02,28,0.7857142857142857,0.03571428571428571,0.5046428571428571,kast
2025-10-03,11,0.45454545454545453,0.0,0.4227272727272728,kast
2025-10-04,5,0.8,0.2,0.43,kast
2025-10-05,10,0.8,0.0,0.43425,kast
2025-10-06,19,0.631578947368421,0.0,0.40157894736842104,kast
2025-10-07,10,0.6,0.0,0.265,kast
2025-10-08,7,1.0,0.0,0.5160714285714285,kast
2025-10-09,6,0.5,0.3333333333333333,0.5933333333333334,kast
2025-10-10,13,0.9230769230769231,0.0,0.5082692307692308,kast
2025-10-11,21,0.5238095238095238,0.0,0.4880952380952381,kast
2025-10-12,15,0.7333333333333333,0.0,0.44616666666666666,kast
2025-10-13,36,0.7222222222222222,0.05555555555555555,0.4602777777777778,kast
2025-10-14,16,0.625,0.0625,0.495625,kast
2025-10-15,8,0.625,0.125,0.3375,kast
2025-10-16,19,0.7368421052631579,0.0,0.4973684210526315,kast
2025-10-17,4,1.0,0.0,0.465,kast
2025-10-18,23,0.6521739130434783,0.0,0.4041304347826087,kast
2025-10-19,13,0.46153846153846156,0.0,0.4169230769230769,kast
2025-10-20,45,0.7777777777777778,0.022222222222222223,0.47838888888888886,kast
2025-10-21,1,1.0,0.0,0.81,kast
2025-10-22,74,0.6891891891891891,0.02702702702702703,0.41045945945945944,kast
2025-10-23,19,0.8421052631578947,0.0,0.40263157894736845,kast
2025-10-24,18,0.8333333333333334,0.0,0.39249999999999996,kast
2025-10-25,15,0.6666666666666666,0.0,0.41950000000000004,kast
2025-10-26,53,0.5849056603773585,0.11320754716981132,0.38443396226415094,kast
2025-10-27,31,0.6129032258064516,0.12903225806451613,0.4213709677419355,kast
2025-10-28,7,0.5714285714285714,0.14285714285714285,0.3775,kast
2025-10-29,39,0.7692307692307693,0.05128205128205128,0.44801282051282054,kast
