document,chars,sents,tokens,types,puncts,numbers,symbols,urls,tags,emojis
text1043,NA,NA,128,94,0,0,0,0,0,0
text1044,NA,NA,21,12,0,0,0,0,0,0
text1045,NA,NA,8,8,0,0,0,0,0,0
text1046,NA,NA,7,7,0,0,0,0,0,0
text1047,NA,NA,7,7,0,0,0,0,0,0
text1048,NA,NA,7,7,0,0,0,0,0,0
text1049,NA,NA,8,8,0,0,0,0,0,0
text1050,NA,NA,5,5,0,0,0,0,0,0
text1051,NA,NA,10,10,0,0,0,0,0,0
text1052,NA,NA,16,13,0,0,0,0,0,0
text1053,NA,NA,7,7,0,0,0,0,0,0
text1054,NA,NA,8,8,0,0,0,0,0,0
text1055,NA,NA,14,12,0,0,0,0,0,0
text1056,NA,NA,6,6,0,0,0,0,0,0
text1057,NA,NA,6,6,0,0,0,0,0,0
text1058,NA,NA,60,47,0,0,0,0,0,0
text1059,NA,NA,15,14,0,0,0,0,0,0
text1060,NA,NA,12,12,0,0,0,0,0,0
text1061,NA,NA,155,116,0,0,0,0,0,0
text1062,NA,NA,21,20,0,0,0,0,0,0
text1063,NA,NA,10,10,0,0,0,0,0,0
text1064,NA,NA,30,23,0,0,0,0,0,0
text1065,NA,NA,9,9,0,0,0,0,0,0
text1066,NA,NA,10,10,0,0,0,0,0,0
text1067,NA,NA,10,10,0,0,0,0,0,0
text1068,NA,NA,5,5,0,0,0,0,0,0
text1069,NA,NA,11,10,0,0,0,0,0,0
text1070,NA,NA,8,8,0,0,0,0,0,0
text1071,NA,NA,42,41,0,0,0,0,0,0
text1072,NA,NA,9,9,0,0,0,0,0,0
text1073,NA,NA,5,5,0,0,0,0,0,0
text1074,NA,NA,4,4,0,0,0,0,0,0
text1075,NA,NA,25,24,0,0,0,0,0,0
text1076,NA,NA,4,4,0,0,0,0,0,0
text1077,NA,NA,14,14,0,0,0,0,0,0
text1078,NA,NA,36,29,0,0,0,0,0,0
text1079,NA,NA,266,213,0,0,0,0,0,0
text1080,NA,NA,28,28,0,0,0,0,0,0
text1081,NA,NA,17,17,0,0,0,0,0,0
text1082,NA,NA,6,6,0,0,0,0,0,0
text1083,NA,NA,1,1,0,0,0,0,0,0
text1084,NA,NA,7,6,0,0,0,0,0,0
text1085,NA,NA,8,5,0,0,0,0,0,0
text1086,NA,NA,16,14,0,0,0,0,0,0
text1087,NA,NA,11,8,0,0,0,0,0,0
text1088,NA,NA,35,30,0,0,0,0,0,0
text1089,NA,NA,5,5,0,0,0,0,0,0
text1090,NA,NA,4,4,0,0,0,0,0,0
text1091,NA,NA,6,6,0,0,0,0,0,0
text1092,NA,NA,7,7,0,0,0,0,0,0
text1093,NA,NA,10,10,0,0,0,0,0,0
text1094,NA,NA,25,23,0,0,0,0,0,0
text1095,NA,NA,13,13,0,0,0,0,0,0
text1096,NA,NA,315,227,0,0,0,0,0,0
text1097,NA,NA,40,33,0,0,0,0,0,0
text1098,NA,NA,196,135,0,0,0,0,0,0
text1099,NA,NA,29,27,0,0,0,0,0,0
text1100,NA,NA,10,10,0,0,0,0,0,0
text1101,NA,NA,9,9,0,0,0,0,0,0
text1102,NA,NA,11,9,0,0,0,0,0,0
text1103,NA,NA,20,17,0,0,0,0,0,0
text1104,NA,NA,6,6,0,0,0,0,0,0
text1105,NA,NA,3,3,0,0,0,0,0,0
text1106,NA,NA,92,76,0,0,0,0,0,0
text1107,NA,NA,8,8,0,0,0,0,0,0
text1108,NA,NA,4,4,0,0,0,0,0,0
text1109,NA,NA,6,6,0,0,0,0,0,0
text1110,NA,NA,3,3,0,0,0,0,0,0
text1111,NA,NA,9,9,0,0,0,0,0,0
text1112,NA,NA,4,4,0,0,0,0,0,0
text1113,NA,NA,10,10,0,0,0,0,0,0
text1114,NA,NA,98,82,0,0,0,0,0,0
text1115,NA,NA,2,2,0,0,0,0,0,0
text1116,NA,NA,39,35,0,0,0,0,0,0
text1117,NA,NA,6,6,0,0,0,0,0,0
text1118,NA,NA,10,10,0,0,0,0,0,0
text1119,NA,NA,0,0,0,0,0,0,0,0
text1120,NA,NA,49,42,0,0,0,0,0,0
text1121,NA,NA,8,8,0,0,0,0,0,0
text1122,NA,NA,8,8,0,0,0,0,0,0
text1123,NA,NA,5,5,0,0,0,0,0,0
text1124,NA,NA,4,4,0,0,0,0,0,0
text1125,NA,NA,266,213,0,0,0,0,0,0
text1126,NA,NA,11,10,0,0,0,0,0,0
text1127,NA,NA,5,5,0,0,0,0,0,0
text1128,NA,NA,2932,819,0,0,0,0,0,0
text1129,NA,NA,3042,986,0,0,0,0,0,0
text1130,NA,NA,9,9,0,0,0,0,0,0
text1131,NA,NA,36,29,0,0,0,0,0,0
text1132,NA,NA,10,10,0,0,0,0,0,0
text1133,NA,NA,9,9,0,0,0,0,0,0
text1134,NA,NA,10,10,0,0,0,0,0,0
text1135,NA,NA,10,10,0,0,0,0,0,0
